
Chivu Alexandru,42,01/01/2011,11230.0,1780415340017 ,0.0,null,-
Popescu Maria,28,01/04/2012,3500.0,29210618320033,0.0,null,Chivu Alexandru
Marinescu Ioana,26,01/04/2017,2700.0,2940618320033,0.0,null,Popescu Maria
Georgescu Mircea,33,15/07/2015,3200.0,1870613510091,0.0,null,Chivu Alexandru
Milea Ana,37,15/02/2019,2500.0,2830513410058,0.0,null,Georgescu Mircea
Gancea Ariana,27,01/04/2018,3200.0,2930905440034,0.0,null,Coriiu Razvan
Coriiu Razvan,54,12/09/2014,4150.0,1660114340029,0.0,null,Chivu Alexandru
Manole Adina,29,15/10/2017,3900.0,2910621330094,0.0,null,Coriiu Razvan
Balasoiu Eduard,25,15/04/2016,3300.0,1960928340066,0.0,null,Coriiu Razvan
Marin Violeta,40,01/12/2013,4000.0,2800105370078,0.0,null,Chivu Alexandru
Tanase Marius,50,01/01/2019,2800.0,1551117190039,0.0,null,-
Gavril Ionut,46,01/01/2019,2800.0,1640430180090,0.0,null,Tanase Marius
Mircescu Vasile,27,01/04/2020,2800.0,193021290067,0.0,null,Coriiu Razvan
Mala Rosalinda,54,01/01/2019,1800.0,2551117190039,0.0,null,-
